"Time (s)","Acceleration (m/s²)"
3.593807167E0,-2.168112481E-1
3.633533167E0,-1.758012164E-1
3.673258167E0,1.068286300E-3
3.712984167E0,1.212197971E-1
3.752709167E0,6.288972795E-2
3.792435167E0,1.594991791E-1
3.832161167E0,1.025157237E-1
3.871886167E0,3.016350514E-1
3.911612167E0,7.316153169E-2
3.951337167E0,-5.529302537E-2
3.991063167E0,-2.292108536E-4
4.030789167E0,3.655737698E-2
4.070514167E0,8.956004798E-2
4.110240167E0,-1.437421024E-2
4.149966167E0,2.262948471E-1
4.189691167E0,1.876780808E-1
4.229417167E0,8.503664196E-2
4.269142167E0,1.828570515E-1
4.308868167E0,1.837043130E-1
4.348594167E0,2.169545048E-1
4.388319167E0,7.341179252E-2
4.428046042E0,-1.698966980E-2
4.467772042E0,-9.690298140E-2
4.507497042E0,7.170206666E-2
4.547223042E0,2.266287231E-1
4.586949042E0,2.575254107E-1
4.626674042E0,1.998549074E-1
4.666400042E0,2.483482057E-1
4.706126042E0,1.002867651E-1
4.745851042E0,5.661098778E-2
4.785577042E0,8.424434423E-2
4.825303042E0,1.229768854E-1
4.865028042E0,6.608289242E-2
4.904754042E0,1.578140116E-1
4.944480042E0,1.277037746E-1
4.984205042E0,7.181491792E-2
5.023931042E0,1.290199828E-1
5.063657042E0,1.108351421E-1
5.103382042E0,2.097472268E-1
5.143108042E0,1.200024068E-2
5.182834042E0,1.264027691E-1
5.222559042E0,1.209514099E-1
5.262285042E0,2.111604989E-1
5.302011042E0,1.356144726E-1
5.341736042E0,8.511674881E-2
5.381462042E0,1.191212314E-1
5.421186583E0,4.360853434E-2
5.460912583E0,1.345081794E-1
5.500637583E0,-7.755688369E-2
5.540363583E0,1.690313101E-2
5.580089583E0,-3.765080631E-2
5.619814583E0,7.531272233E-2
5.659540583E0,2.274941111E-1
5.699266583E0,1.556306612E-1
5.738992583E0,1.894158733E-1
5.778717583E0,9.901265681E-2
5.818443583E0,2.208855879E-1
5.858169583E0,7.423274159E-2
5.897894583E0,-2.262930930E-2
5.937620583E0,-2.332688212E-2
5.977346583E0,2.200289708E-1
6.017072583E0,1.034658962E-1
6.056798583E0,1.491870296E-1
6.096523583E0,2.651536882E-2
6.136249583E0,5.109823287E-2
6.175975583E0,1.459763235E-1
6.215701583E0,6.537830293E-2
6.255426583E0,7.732124090E-2
6.295152583E0,-2.817130029E-2
6.334878583E0,-1.081208646E-2
6.374604583E0,8.866659343E-2
6.414329583E0,8.726267695E-2
6.454056417E0,3.619490808E-1
6.493782417E0,1.853467959E-1
6.533508417E0,-5.730856061E-2
6.573234417E0,-6.943276227E-2
6.612959417E0,-9.088210344E-2
6.652685417E0,7.665582776E-2
6.692411417E0,2.249043792E-1
6.732137417E0,1.299058360E-1
6.771863417E0,6.741488814E-2
6.811588417E0,9.735263228E-2
6.851314417E0,1.097569156E-1
6.891040417E0,2.047303158E-1
6.930766417E0,5.020360887E-2
6.970492417E0,1.439315522E-1
7.010217417E0,-4.387399793E-2
7.049943417E0,-1.658819997E-1
7.089669417E0,1.723572063E-1
7.129395417E0,2.353779119E-1
7.169121417E0,1.025168931E-1
7.208847417E0,6.861473680E-2
7.248572417E0,3.997156620E-2
7.288298417E0,1.769887859E-1
7.328024417E0,8.168911099E-2
7.367750417E0,1.442718601E-1
7.407476417E0,6.215648711E-2
7.447202083E0,9.629370153E-2
7.486927083E0,3.900852978E-2
7.526653083E0,7.688094556E-2
7.566379083E0,1.440882576E-1
7.606105083E0,1.971412146E-1
7.645831083E0,1.332463503E-1
7.685557083E0,1.618941987E-1
7.725283083E0,4.992528141E-2
7.765008083E0,3.053123653E-2
7.804734083E0,4.439381540E-2
7.844460083E0,3.659479916E-2
7.884186083E0,7.122844219E-2
7.923912083E0,1.145767754E-1
7.963638083E0,7.972444654E-2
8.003364083E0,1.053352511E-1
8.043090083E0,4.970074832E-2
8.082816083E0,-2.495065391E-2
8.122542083E0,8.128214478E-2
8.162267083E0,2.387997025E-1
8.201993083E0,1.344771892E-1
8.241719083E0,5.498019934E-2
8.281445083E0,-1.180552840E-2
8.321171083E0,-1.276166511E-1
8.360897083E0,5.566607773E-2
8.400623083E0,1.509353471E-1
8.440349458E0,1.912232476E-1
8.480075458E0,1.191253245E-1
8.519801458E0,2.077960110E-1
8.559527458E0,7.027125299E-2
8.599253458E0,4.884062290E-2
8.638979458E0,4.575036943E-2
